1,0,0,0,360,-90,0,0.9
2,0,1,0,360,0,90,0.9
3,1,2,0,120,-90,-52.5,3.3
4,1,2,120,240,-90,-52.5,3.3
5,1,2,240,360,-90,-52.5,3.3
6,1,2,0,45,-52.5,-22.5,4.5
7,1,2,45,90,-52.5,-22.5,4.5
8,1,2,90,135,-52.5,-22.5,4.5
9,1,2,135,180,-52.5,-22.5,4.5
10,1,2,180,225,-52.5,-22.5,4.5
11,1,2,225,270,-52.5,-22.5,4.5
12,1,2,270,315,-52.5,-22.5,4.5
13,1,2,315,360,-52.5,-22.5,4.5
14,1,2,0,40,-22.5,0,4.8
15,1,2,40,80,-22.5,0,4.8
16,1,2,80,120,-22.5,0,4.8
17,1,2,120,160,-22.5,0,4.8
18,1,2,160,200,-22.5,0,4.8
19,1,2,200,240,-22.5,0,4.8
20,1,2,240,280,-22.5,0,4.8
21,1,2,280,320,-22.5,0,4.8
22,1,2,320,360,-22.5,0,4.8
23,2,2,0,40,0,22.5,4.8
24,2,2,40,80,0,22.5,4.8
25,2,2,80,120,0,22.5,4.8
26,2,2,120,160,0,22.5,4.8
27,2,2,160,200,0,22.5,4.8
28,2,2,200,240,0,22.5,4.8
29,2,2,240,280,0,22.5,4.8
30,2,2,280,320,0,22.5,4.8
31,2,2,320,360,0,22.5,4.8
32,2,2,0,45,22.5,52.5,4.5
33,2,2,45,90,22.5,52.5,4.5
34,2,2,90,135,22.5,52.5,4.5
35,2,2,135,180,22.5,52.5,4.5
36,2,2,180,225,22.5,52.5,4.5
37,2,2,225,270,22.5,52.5,4.5
38,2,2,270,315,22.5,52.5,4.5
39,2,2,315,360,22.5,52.5,4.5
40,2,2,0,120,52.5,90,3.3
41,2,2,120,240,52.5,90,3.3
42,2,2,240,360,52.5,90,3.3
43,3,3,0,120,-90,-82.5,16
44,4,3,120,240,-90,-82.5,16
45,5,3,240,360,-90,-82.5,16
46,3,3,0,40,-82.5,-75,20
47,3,3,40,80,-82.5,-75,20
48,3,3,80,120,-82.5,-75,20
49,4,3,120,160,-82.5,-75,20
50,4,3,160,200,-82.5,-75,20
51,4,3,200,240,-82.5,-75,20
52,5,3,240,280,-82.5,-75,20
53,5,3,280,320,-82.5,-75,20
54,5,3,320,360,-82.5,-75,20
55,3,3,0,24,-75,-67.5,22
56,3,3,24,48,-75,-67.5,22
57,3,3,48,72,-75,-67.5,22
58,3,3,72,96,-75,-67.5,22
59,3,3,96,120,-75,-67.5,22
60,4,3,120,144,-75,-67.5,22
61,4,3,144,168,-75,-67.5,22
62,4,3,168,192,-75,-67.5,22
63,4,3,192,216,-75,-67.5,22
64,4,3,216,240,-75,-67.5,22
65,5,3,240,264,-75,-67.5,22
66,5,3,264,288,-75,-67.5,22
67,5,3,288,312,-75,-67.5,22
68,5,3,312,336,-75,-67.5,22
69,5,3,336,360,-75,-67.5,22
70,3,3,0,17.14,-67.5,-60,24
71,3,3,17.14,34.29,-67.5,-60,24
72,3,3,34.29,51.43,-67.5,-60,24
73,3,3,51.43,68.57,-67.5,-60,24
74,3,3,68.57,85.71,-67.5,-60,24
75,3,3,85.71,102.86,-67.5,-60,24
76,3,3,102.86,120,-67.5,-60,24
77,4,3,120,137.14,-67.5,-60,24
78,4,3,137.14,154.29,-67.5,-60,24
79,4,3,154.29,171.43,-67.5,-60,24
80,4,3,171.43,188.57,-67.5,-60,24
81,4,3,188.57,205.71,-67.5,-60,24
82,4,3,205.71,222.86,-67.5,-60,24
83,4,3,222.86,240,-67.5,-60,24
84,5,3,240,257.14,-67.5,-60,24
85,5,3,257.14,274.29,-67.5,-60,24
86,5,3,274.29,291.43,-67.5,-60,24
87,5,3,291.43,308.57,-67.5,-60,24
88,5,3,308.57,325.71,-67.5,-60,24
89,5,3,325.71,342.86,-67.5,-60,24
90,5,3,342.86,360,-67.5,-60,24
91,3,3,0,13.33,-60,-52.5,24
92,3,3,13.33,26.67,-60,-52.5,24
93,3,3,26.67,40,-60,-52.5,24
94,3,3,40,53.33,-60,-52.5,24
95,3,3,53.33,66.67,-60,-52.5,24
96,3,3,66.67,80,-60,-52.5,24
97,3,3,80,93.33,-60,-52.5,24
98,3,3,93.33,106.67,-60,-52.5,24
99,3,3,106.67,120,-60,-52.5,24
100,4,3,120,133.33,-60,-52.5,24
101,4,3,133.33,146.67,-60,-52.5,24
102,4,3,146.67,160,-60,-52.5,24
103,4,3,160,173.33,-60,-52.5,24
104,4,3,173.33,186.67,-60,-52.5,24
105,4,3,186.67,200,-60,-52.5,24
106,4,3,200,213.33,-60,-52.5,24
107,4,3,213.33,226.67,-60,-52.5,24
108,4,3,226.67,240,-60,-52.5,24
109,5,3,240,253.33,-60,-52.5,24
110,5,3,253.33,266.67,-60,-52.5,24
111,5,3,266.67,280,-60,-52.5,24
112,5,3,280,293.33,-60,-52.5,24
